type,category,prompt
truth,Ideology,Would you lie to protect someone you love?
truth,Ideology,"Do you believe people can change, or do you think they are set in their ways?"
truth,Ideology,Is it ever okay to break the law for a good cause?
truth,Ideology,Would you steal something to help someone in need?
truth,Ideology,Is it morally acceptable to break a promise if it benefits you?
truth,Ideology,"If you had the chance, would you erase bad memories from your past?"
truth,Ideology,Do you think it’s okay to criticize someone for their lifestyle choices?
truth,Ideology,Would you ever sacrifice one life to save many others?
truth,Ideology,Is it more important to be kind or to be honest?
truth,Ideology,Do you think it’s ever okay to lie in a relationship?
truth,Ideology,"If you could live forever, would you choose to?"
truth,Ideology,Do you believe everyone has a soulmate?
truth,Ideology,Is it acceptable to judge others based on their appearance?
truth,Ideology,Would you choose to stop global warming even if it meant giving up some of your comforts?
truth,Ideology,Is it more important to follow the rules or to break them for a greater good?
truth,Ideology,Do you think revenge is ever justified?
truth,Ideology,Would you help a stranger if it endangered your own safety?
truth,Ideology,"Is it ethical to use animals for testing, even if it could save human lives?"
truth,Ideology,Would you rather save the life of a loved one or that of a stranger?
truth,Ideology,Would you ever choose money over love?
truth,Ideology,"If you could bring someone back to life, who would it be?"
truth,Ideology,Do you think it's okay to keep secrets from your partner?
truth,Ideology,Would you give up your career to take care of someone you love?
truth,Ideology,Do you believe it’s better to tell the truth even if it might hurt someone’s feelings?
truth,Ideology,Would you help a friend who you know is in the wrong?
truth,Ideology,Do you think wealth should be redistributed to help those in need?
truth,Ideology,Do you believe people are inherently good or evil?
truth,Ideology,Would you forgive someone who betrayed your trust?
truth,Ideology,Is it wrong to profit from someone else’s misfortune?
truth,Ideology,Do you think the government has the right to spy on its citizens for safety?
truth,Ideology,Would you break the law to stand up for what you believe in?
truth,Ideology,Do you think technology is ruining human relationships?
truth,Ideology,Would you ever put your personal beliefs aside for the good of the group?
truth,Ideology,Would you fight for freedom even if it meant sacrificing your own safety?
truth,Ideology,"If you had to choose, would you prefer peace or prosperity?"
truth,Ideology,Would you ever become a whistleblower if you knew your company was doing something wrong?
truth,Ideology,Do you think humans are responsible for environmental destruction?
truth,Ideology,Is it ethical to use artificial intelligence in military applications?
truth,Ideology,Do you believe that people should be able to choose when and how they die?
truth,Ideology,"If you had the power to punish someone for a crime, would you?"
truth,Ideology,Is it ever acceptable to spy on someone?
truth,Ideology,Would you ever cheat in a relationship if you thought no one would find out?
truth,Ideology,Is it okay to bend the truth if it results in a greater good?
truth,Ideology,Would you sacrifice your morals for personal gain?
truth,Ideology,Do you believe it’s better to forgive or forget when someone wrongs you?
truth,Ideology,Would you ever risk your safety to protest for a cause you believe in?
truth,Ideology,Is it ethical to use force to protect your country or loved ones?
truth,Ideology,Would you support a law that limits personal freedom for the greater good?
truth,Ideology,Do you think social media is a force for good or evil?
truth,Ideology,Do you think people should be allowed to access and share all types of information online?
truth,Ideology,Would you ever report someone to the authorities if you knew they were breaking the law?
truth,Ideology,Do you think it's okay for people to get away with small infractions if they have good intentions?
truth,Ideology,"If you could choose between saving one person you love or saving a group of strangers, which would you choose?"
truth,Ideology,Would you still help someone even if they treated you poorly in the past?
truth,Ideology,Is it wrong to take advantage of someone else’s mistakes?
truth,Ideology,Would you lie to make someone happy?
truth,Ideology,Is it ever okay to keep a secret from your best friend?
truth,Ideology,"Do you think we should do more to help people in poverty, even if it costs us?"
truth,Ideology,"If you had the chance to change the world, would you do it even if it meant making difficult sacrifices?"
truth,Ideology,Is it ever okay to manipulate someone to achieve a positive outcome?
truth,Ideology,Would you ever tell someone the truth if you knew it would hurt them?
truth,Ideology,Would you sacrifice a relationship to achieve your career goals?
truth,Ideology,Is it okay to deceive others to achieve your personal goals?
truth,Ideology,Do you think the end justifies the means?
truth,Ideology,Would you ever ignore a moral dilemma if it meant it didn’t affect you directly?
truth,Ideology,Would you support a system of government that limits personal freedom for the sake of security?
truth,Ideology,Is it acceptable to fight for justice even if it means breaking the law?
truth,Ideology,Would you forgive someone who lied to you for the greater good?
truth,Ideology,Do you think it's wrong to prioritize your happiness over others' feelings?
truth,Ideology,Would you report a crime if it meant someone close to you would be arrested?
truth,Ideology,Do you believe that everyone deserves a second chance?
truth,Ideology,Would you ever lie on behalf of someone else to protect them?
truth,Ideology,Would you support policies that take wealth from the rich to help the poor?
truth,Ideology,Is it okay to hurt one person to prevent a larger disaster?
truth,Ideology,Would you choose to go without basic comforts if it meant saving the planet?
truth,Ideology,Is it ethical to use someone else’s personal information without their consent for a good cause?
truth,Ideology,Would you ever sacrifice your safety to stand up for what you believe in?
truth,Ideology,Would you be willing to die for a cause you strongly believe in?
truth,Ideology,Is it okay to engage in illegal activities to protect the environment?
truth,Ideology,Would you help someone who hurt you in the past if they were in trouble?
truth,Ideology,Do you think society should be more lenient with those who make mistakes?
truth,Ideology,Would you ever forgive someone who betrayed your trust without an apology?
truth,Ideology,Would you help a family member even if it meant sacrificing your own needs?
truth,Ideology,Would you choose to give up personal freedom to live in a perfectly safe society?
truth,Ideology,Do you believe that some people deserve to be punished more severely than others?
truth,Ideology,Do you believe it’s possible for a society to be entirely fair?
truth,Ideology,Would you defend a belief even if you knew it was unpopular?
truth,Ideology,Is it more important to follow your moral compass or to fit in with society’s expectations?
truth,Ideology,Do you think the concept of 'good' and 'evil' is relative?
truth,Ideology,Would you ever sacrifice your reputation to help others?
truth,Ideology,"Do you think people should be free to live their lives however they see fit, even if it harms others?"
truth,Ideology,Would you ever ignore a moral responsibility if it meant personal gain?
truth,Ideology,Do you believe that power corrupts everyone who holds it?
truth,Ideology,Should freedom of speech come with restrictions to avoid harm?
truth,Ideology,Would you support a law that requires people to live by a certain moral code?
truth,Ideology,Do you think it’s ethical to manipulate someone’s emotions to get what you want?
truth,Ideology,Would you fight for a cause even if you didn’t fully understand it?
truth,Ideology,Do you think social media companies should be held responsible for the spread of misinformation?
truth,Ideology,Would you ever choose personal happiness over societal well-being?
truth,Ideology,Is it justifiable to hurt someone to prevent greater harm?
truth,Ideology,Would you ever consider breaking the law if it meant you could protect someone from harm?
truth,Ideology,"Do you think that justice can truly be blind, or is it influenced by power and wealth?"
truth,Ideology,"Would you support a policy that punishes people who repeatedly make mistakes, even if they’re trying to improve?"
truth,Ideology,Should governments have the right to restrict free speech for national security?
truth,Ideology,Would you still trust someone if you knew they lied to protect someone else?
truth,Ideology,Do you believe that humans have a responsibility to preserve the planet for future generations?
truth,Ideology,Would you ever give up your personal freedom to live in a society free of crime?
truth,Ideology,Is it ever acceptable to place the well-being of one group above that of another?
truth,Ideology,Do you think that moral values should be taught in schools?
truth,Ideology,Would you compromise your integrity to avoid conflict?
truth,Ideology,Do you think it’s more important to stand up for what’s right or to protect yourself?
truth,Ideology,Would you support a law that forces people to help others in need?
truth,Ideology,Do you think self-sacrifice is a noble trait?
truth,Ideology,Would you ever turn your back on someone if it was for the greater good?
truth,Ideology,Is it acceptable to be dishonest if you believe the truth would hurt someone?
truth,Ideology,"Do you think people should be allowed to express their beliefs, even if they are offensive?"
truth,Ideology,Would you ever risk your safety to expose a truth that could harm you?
truth,Ideology,Do you believe that some people are beyond redemption?
truth,Ideology,Would you sacrifice your personal happiness to fight for equality?
truth,Ideology,Do you think it's right to enforce moral values through laws?
truth,Ideology,Would you ever tell a lie if you thought it would protect someone?
truth,Ideology,Do you think governments should be allowed to restrict personal freedoms in the name of public health?
truth,Ideology,"Would you ever oppose a law you believed was unjust, even if it meant facing punishment?"
truth,Ideology,Do you think the ends always justify the means?
truth,Ideology,Would you ever break a law if it meant saving someone's life?
truth,Ideology,Do you believe that revenge is a justified form of justice?
truth,Ideology,Would you ever betray your own values to fit into society?
truth,Ideology,Do you think it’s okay to deceive people if it benefits the collective?
truth,Ideology,Should people be judged based on their actions or their intentions?
truth,Ideology,"Would you stand up for someone, even if they were unpopular?"
truth,Ideology,"Do you think people should be held accountable for mistakes they made in the past, even if they have changed?"
truth,Ideology,Is it okay to judge someone based on their past mistakes?
truth,Ideology,Do you believe that personal sacrifice is necessary for societal progress?
truth,Ideology,Would you support a law that mandates helping others in need?
truth,Ideology,Do you think it’s ever okay to manipulate people’s emotions to prevent harm?
truth,Ideology,Would you ever lie for a greater good?
truth,Ideology,Do you think the government should have more power to regulate people's lives?
truth,Ideology,"Would you choose to live in a world where no one ever lies, even if it meant people were unhappy?"
truth,Ideology,Is it wrong to let someone suffer if helping them would require a personal sacrifice?
truth,Ideology,Would you ever expose a secret that could hurt someone if you thought it was for the greater good?
truth,Ideology,Do you believe people should be allowed to express hateful opinions?
truth,Ideology,Would you fight for a law that would limit people’s personal freedoms to protect others?
truth,Ideology,Do you think it’s necessary to break a law to promote social change?
truth,Ideology,Would you lie to keep someone from being hurt emotionally?
truth,Ideology,Do you think it’s possible to create a utopian society?
truth,Ideology,Would you support the use of surveillance if it meant increased security?
truth,Ideology,Is it wrong to put personal happiness over societal needs?
truth,Ideology,Would you sacrifice your beliefs to fit in with others?
truth,Ideology,Do you think it’s more important to be loyal or to be honest?
truth,Ideology,"Would you fight for what you believe in, even if it meant losing everything?"
truth,Ideology,Should people be allowed to break the law if it’s for a moral cause?
truth,Ideology,Would you ever put your personal beliefs aside for the good of a group?
truth,Ideology,Do you think laws should reflect moral values or practical needs?
truth,Ideology,"Would you protect a friend, even if it meant breaking the law?"
truth,Ideology,Do you think people are inherently good or bad?
truth,Ideology,Should everyone be entitled to equal treatment under the law?
truth,Ideology,Would you ever give up your personal freedom for the safety of others?
truth,Ideology,Is it better to be right or to be kind?
truth,Ideology,"Do you believe that the truth is always worth telling, even if it could destroy someone's life?"
truth,Ideology,Would you ever participate in a protest that could lead to violence?
truth,Ideology,Do you think society should prioritize individual rights or collective responsibility?
truth,Ideology,Would you ever ignore an injustice if it didn’t affect you directly?
truth,Ideology,Is it acceptable to use violence to achieve political goals?
truth,Ideology,"Do you believe people should be free to practice any religion they choose, even if it conflicts with others' rights?"
truth,Ideology,Would you be willing to break the law to protect a loved one?
truth,Ideology,Do you think it’s right to judge someone for the decisions they made in the past?
truth,Ideology,Would you stand up for a cause that could result in personal loss?
truth,Ideology,"Should people be allowed to act according to their beliefs, even if it hurts others?"
truth,Ideology,"Do you think people can truly change, or do they remain fundamentally the same?"
truth,Ideology,Would you support government intervention to ensure everyone has equal access to resources?
truth,Ideology,Do you believe the justice system is fair for all individuals?
truth,Ideology,Would you ever break a promise if it meant achieving a greater good?
truth,Ideology,Do you think ethical decisions should be based on emotion or reason?
truth,Ideology,Should personal freedoms be limited in the interest of the greater good?
truth,Ideology,Would you fight for your country if it meant going to war?
truth,Ideology,Do you believe that laws should be based on moral values or public opinion?
truth,Ideology,Should we prioritize individual rights or the greater good when making decisions?
truth,Hypothetical,"If you could switch lives with anyone for a day, who would it be?"
truth,Hypothetical,"If you could have any superpower, which one would you choose?"
truth,Hypothetical,"If you could time travel to any period in history, where and when would you go?"
truth,Hypothetical,"If you were offered the chance to live in another country forever, would you take it?"
truth,Hypothetical,"If you were granted one wish but could not wish for more wishes, what would you wish for?"
truth,Hypothetical,"If you were a billionaire, how would you spend your money?"
truth,Hypothetical,"If you could talk to animals, which one would you speak to first?"
truth,Hypothetical,"If you could instantly learn any skill, what would you choose?"
truth,Hypothetical,"If you were invisible for a day, what would you do?"
truth,Hypothetical,"If you could solve one global issue, which one would it be?"
truth,Hypothetical,"If you could meet any celebrity, who would it be?"
truth,Hypothetical,"If you could only eat one food for the rest of your life, what would it be?"
truth,Hypothetical,"If you could live in any fictional universe, which one would it be?"
truth,Hypothetical,"If you could bring one extinct animal back to life, which would you pick?"
truth,Hypothetical,"If you could teleport anywhere right now, where would you go?"
truth,Hypothetical,"If you had a clone, what would you make them do for you?"
truth,Hypothetical,"If you were to start a new career tomorrow, what would you do?"
truth,Hypothetical,"If you were stranded on a desert island, what 3 things would you want with you?"
truth,Hypothetical,"If you had to live in a movie, which one would it be?"
truth,Hypothetical,"If you could be famous for one thing, what would it be?"
truth,Hypothetical,"If you could create a new holiday, what would it be about?"
truth,Hypothetical,"If you could be any fictional character for a week, who would you be?"
truth,Hypothetical,"If you could live in any time period, when would it be and why?"
truth,Hypothetical,"If you could be a character in any video game, which one would you choose?"
truth,Hypothetical,"If you had to live on a spaceship for a year, what would you bring with you?"
truth,Hypothetical,"If you could speak any language fluently, which would you choose?"
truth,Hypothetical,"If you could redesign the human body, what feature would you change or add?"
truth,Hypothetical,"If you could have dinner with anyone from history, who would it be?"
truth,Hypothetical,"If you could have a conversation with your future self, what would you ask?"
truth,Hypothetical,"If you could master any musical instrument instantly, which would you choose?"
truth,Hypothetical,"If you could be any animal for a day, which would you be?"
truth,Hypothetical,"If you could only listen to one song for the rest of your life, which one would it be?"
truth,Hypothetical,"If you could be famous for something silly, what would it be?"
truth,Hypothetical,"If you could live in any country for a year, where would you go?"
truth,Hypothetical,"If you could erase one mistake from your life, what would it be?"
truth,Hypothetical,"If you could have any job in the world, what would it be?"
truth,Hypothetical,"If you could instantly become an expert at something, what would it be?"
truth,Hypothetical,"If you could visit any place on Earth, where would you go?"
truth,Hypothetical,"If you could experience any historical event firsthand, which would you choose?"
truth,Hypothetical,"If you could live without sleep, what would you do with the extra time?"
